SUMMARY pass=20 fail=0
PASS | keygen creates keys (or already exist)
PASS | settings hasKeys
PASS | default product seeded
PASS | customer created
PASS | customer search
PASS | license generated
PASS | license active
PASS | license has ~30 days
PASS | signature verifies with public key
PASS | payload machine bound
PASS | tampered payload rejected
PASS | renew extends expiry
PASS | renew accumulates revenue
PASS | dashboard counts customer
PASS | dashboard counts license
PASS | dashboard active >= 1
PASS | dashboard revenue > 0
PASS | revoke sets status
PASS | perpetual has no expiry
PASS | customers CSV has rows
